Submission date	OS	Version	Rating	Combined Review	Likes
2023-04-20 7:11:55	iOS	1.5.2	1	Broken - Keep getting signed out. Camera sessions “ending” constantly.	0
2023-03-29 12:08:59	iOS	1.5.2	3	Decent, please add Apple Watch support - Positives: aesthetically the interface is nice. Like the layout and graphics. Cons: Clunky, UI glitches, cameras sometimes glitch out, can’t make payments to my day care in the app and have to routed to the website. It’s a, better than nothing, situation. Please add Apple Watch support for notifications and improve the UI fluidity and speed of navigation through the app. It would be beneficial if payments were within app.	0
2023-03-21 18:30:33	iOS	1.5.1	1	Keeps logging me out - Tried changing passwords, deleting, reinstalling, customer support, nothing works!!! Was at another center that used tadpoles for 6yrs, not once did it fail.	0
2023-03-13 13:21:55	iOS	1.5.1	1	We need a SproutAbout web application. - Just as the title says. Not everyone has access to their phones during the work day so being able to keep up with my kids while at my work computer is greatly needed. Considering this app replaced Brightwheel for most child care providers, a web application for SproutAbout should have been a top priority. I hope you all have one in the works.	0
2023-03-10 14:50:50	iOS	1.5.1	1	Delayed - I’ve never been able to open this app without it taking 15 minutes to get to the home page. Worst child care app out there! Avoid if possible!	0
2023-03-03 9:32:45	iOS	1.5.0	1	Punishing Teachers for Bad App - I continue to be disappointed in this app, but this latest “feature” really takes the cake.     Rather than fixing any of the plethora of issues we continue to highlight in reviews and surveys, LCG is now trying to pin the blame on teachers with its weekly rating of each classroom. The issue is not the teachers, and it never has been. The issue is that you created a poorly functioning, non-intuitive app, and rather than accept responsibility or heaven forbid you fix something without making other things worse, you’re trying to blame someone else. The teachers are fantastic. LCG leadership in charge of this app is apparently the problem here.	0
2023-02-27 10:19:52	iOS	1.5.0	5	Works perfectly for me - If you were to go off the “star rating” of this app you’d think it was a train wreck. But for me, it has always worked great.    I can see videos, pictures, and updates of my kid consistently. I can easily message staff and can see they are receiving and answering messages.    Lots of the complaints might be from people trying to use certain unstable features of the app. Receiving updates, images, videos, messages all work great for me though!	0
2023-02-27 7:05:09	iOS	1.5.0	4	Happy - I’m happy to be able to see my grandson.	0
2023-02-21 10:09:20	iOS	1.4.6	1	Very Unreliable - The app very consistently shows messages as sent that never go through. Upon checking back later it either displays an error message at that point letting you know it never sent or briefly pops up in the chat and disappears as if never sent. This leaves critical communication unsent when you are left to otherwise believe it has been effectively communicated. Also, the video streaming portion is very buggy and has lots of issues switching cameras.	0
2023-02-20 11:49:36	iOS	1.4.6	1	The app - This app was designed to make it easier on the teacher and the parents. It has done everything except make it easier on both ends. The app constantly has glitches, interfering with the ability to properly communicate between teachers and parents.	0
2023-02-20 8:45:59	iOS	1.4.6	1	The worst thing - This app doesn’t work well. It keeps freezing, some days it doesn’t even allow me to see that my kid is in. I hear the teachers talk about how it lags in the class. My students teacher doesn’t post as much and she says she can’t because of the timing. With each update it gets worse. Get rid of it! And start again!!! If I could, I would give 0 stars.	0
2023-02-17 10:04:42	iOS	1.4.6	3	Has some bugs - Overall, the app works well enough for me. But I can’t seem to get the “Bulletin” notifications to go away once I’ve read them, which happened after two updates ago.	0
2023-02-16 11:42:24	iOS	1.4.6	2	Needs a UX Review - It would be worthwhile for the company that created the app to invest in contracting with UX and customer loyalty consultants for future version updates. The app is clunky and frequently glitches. Scrolling through pictures can be difficult as it easily returns you to the main page. The presentation of meal, etc. updates is too big and prominent. The info is not personalized to my child as I do not have the option of having the app refer to my child in gender specific pronouns. The screen to talk to the teacher should have an option for a simple message vs comments for drop off and pick up. I have experienced issues with my messages not being received by the teachers, so now I call the school instead of using the app. It seems as if the production of the app and the go live was rushed. The app has potential. Brightwheel has improvement opportunities, but it is currently a much better solution.	1
2023-02-16 11:19:29	iOS	1.4.6	1	App never works - This app always freezes, never works right and now I can’t even get into it.	0
2023-02-12 18:45:19	iOS	1.4.4	3	Please Update - I’m both a teacher and a parent through LCG.   As a parent, i love the app and it’s features.     As a teacher, this app is horrible. It would make it far more easier if teachers were able to have some control over which children are shown in “my classroom”. I’m unsure of other centers, but ours has a bunch of children who can be in that room grouped together. Whenever we have children checked in it doesn’t show them all grouped together, rather spread throughout the list that doesn’t seem as though it has a method of sorting. As a brand new teacher it made it EXTREMELY confusing trying to figure out which children were actually assigned to be in that room on a day to day basis.   Please add the option to edit photos that are taken within the app itself, like if we need to fix the rotation, that is a big one for myself personally.   Please add the option to have an announcement, instead of just Activity/Sleep/ Lesson Plan/Food. If the announcement is added, if possible to make the notification appear differently than the updates that pop up for the child.   I have had a few parents say something about the comments they have left on activity updates, can we as teachers have the ability to reply back to the comments, as well as receive notifications of interactions with the updates.	
2023-02-10 13:19:42	iOS	1.4.4	2	Not good - My children’s center took away a great working app and from what I understand, replaced it with their own that they created. And it’s terrible. It’s glitchy. It doesn’t send me updates no matter if I have notifications on, reboot, sign in/out etc. the pickup/drop off note section isn’t easy to use and the messages delete after 24 hours. It will randomly kick me out and make me sign back in. Not impressed.	0
2023-02-09 13:33:25	iOS	1.4.4	1	Horrible App - I wanted to update this review to say that the bulletin scrolling issue has been fixed. However, we still have massive issues with notifications. Badges specifically do not work. I will say banner notifications work about 70% of the time, but still… And the school frequently has to alert us that the app is down or not working properly. We were definitely spoiled with Brightwheel and being able to tailor notifications. I know it was easier for staff to take photos too.     The idea of this app is great and, when it works, it’s wonderful. But I stress *when* it works. Since we’ve had the app, there’s been glitch after glitch after glitch. And one glitch - where the bulletins freeze as you attempt to scroll and it takes you five minutes to read a message that should have taken less than one - that glitch has never been addressed. Yes, we’ve contacted the email address about it to no avail. I’ve uninstalled, reinstalled, logged out, back in, yada yada, as has my husband and two other families (both using two phones each) and we all *still* get frozen on bulletins. To the point that I’ve asked the Director if she can just email. Well, she also has to text because - surprise - notifications don’t always work. Bring back Brightwheel please! Please, please, please! We have it for years and never had issues like this. If they could get a competent team to update the app and make it functional, it’d be awesome and I truly thought it was great at first. Not anymore. Now it’s a headache. Please don’t reply telling me to contact support - SIX OF US HAVE and you’ve been unable to fix it.	0
2023-02-09 13:11:27	iOS	1.4.4	1	Broken!! - The App isn’t working. Whatever your update did it broke the app. Fix it!! As this is how the school communicates with us.	0
2023-02-08 18:31:29	iOS	1.4.4	1	Very glitchy and long load times - Not sure why our daycare pays for this app. It’s often glitchy, video and photos have issues when trying to tap to view, and lately I can’t even get the update feed to load. Daycares need to pick a different app developer because this one isn’t worth it.    Edit - welp turns out this app is owned Learning Care Grouo which is owned by a private equity firm who also owns the daycare we send our kid to. Probably means the daycares are captive clients (ie probably forced to use this app). Also means this app will always be terrible because if the daycares are forced to use it because they are both owned by the same parent company there probably won’t be competition from an outside app company…. Thanks for making a terrible app in the name of profit	
2023-02-08 17:09:29	iOS	1.4.4	2	Glitchy and slow - I feel like I have issues every day with this app. Currently, I can’t even get it to open and load updates. To get the video to stream I usually have to close and reopen the app all together. Hoping newer versions with updates come soon	0
2023-02-08 13:42:45	iOS	1.4.4	2	Inconsistent - App works inconsistently. Sometimes it works with all functions, others it opens but never loads. Sometimes the camera streaming functionality freezes and you have to refresh to re-load it. Messages from parents to teachers don’t always go through. It’s a very clunky app that needs work. It’s frustrating to not be able to follow my children throughout their day or know when my infant has had bottles/naps. Would rather use another app service.	0
2023-02-08 13:10:49	iOS	1.4.4	1	Garbage - This app is garbage. It takes forever to load and often will never load. The teachers have a hard time updating it. The video always freezes. I wish my daycare would switch back to Brightwheel because this app is not usable most days.	0
2023-02-08 12:27:42	iOS	1.4.4	1	Please fix this app - Often, I’ll try to open the app when I receive a notification and the app simply will not load or open. This is unacceptable when this app is the main way our childcare provider communicates with us.	0
2023-02-08 12:10:00	iOS	1.4.4	2	Awful - We use this app as our daughter is in daycare and we like to watch how she’s doing and get updates. However, we can never do that as the app is ALWAYS freezing and we cannot see our daughter. It’s constantly refreshing with that spinning circle and signs us out and/or doesn’t show us anything. This is ridiculous and needs to be fixed asap.	0
2023-02-08 11:32:51	iOS	1.4.4	2	Freezes A LOT!! - After you log in the app freezes for a long time and there isn’t a way to unfreeze it. I tried restarting, uninstalling and reinstalling. Please try and fix it	0
